Iteration,four_corners_50_n4_human,four_corners_50_n4,four_corners_50_n8_human,four_corners_50_n8,non_n4_four_corners_50_1,non_n4_four_corners_50_2,non_n4_four_corners_50_3,human_n4_four_corners_50_1,human_n4_four_corners_50_2,human_n4_four_corners_50_3,non_n8_four_corners_50_1,non_n8_four_corners_50_2,non_n8_four_corners_50_3,human_n8_four_corners_50_1,human_n8_four_corners_50_2,human_n8_four_corners_50_3
116,1069321506,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
117,1053013436,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
118,1057867377,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
119,1045292758,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
120,1032759826,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
121,1028270250,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
122,1014340039,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
123,1017408296,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
124,1186616189,1748962838,761857915.7,858799638,,,,,,,,,,,,
125,1000971618,1028309167,433995440.6,403986426.9,,,,,,,,,,,,
126,986780214.8,1004483394,376271149.9,357521369,,,,,,,,,,,,
127,982198030.6,997577126.6,345271626.8,338526095.1,,,,,,,,,,,,
128,980412806.8,997577126.6,316028457.8,333323329.2,,,,,,,,,,,,
129,980412806.8,997577126.6,308834914.3,333291538,,,,,,,,,,,,
130,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
131,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
132,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
133,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
134,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
135,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
136,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
137,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
138,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
139,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
140,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
141,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
142,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
143,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
144,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
145,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
146,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
147,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
148,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
149,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
150,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
151,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
152,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
153,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
154,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
155,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
156,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
157,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
158,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
159,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
160,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
161,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
162,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
163,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
164,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
165,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
166,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
167,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
168,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
169,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
170,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
171,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
172,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
173,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
174,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
175,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
176,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
177,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
178,980412806.8,997577126.6,295557170.5,333291538,,,,,,,,,,,,
